,compound,negative,neutral,positive,tweet,tweet_time,user
0,0.0,0.0,1.0,0.0,🇮🇪 This 800-year-old hotel in Ireland is simply incredible.  #AmazingHotels https://t.co/OAKKCsexPW,2018-03-28 18:00:05+00:00,BBC
1,0.296,0.0,0.891,0.109,"📚 'Words do not live in dictionaries. They live in the mind.'

Hear the only surviving recording of #VirginiaWoolf,… https://t.co/Puwg8Mve7N",2018-03-28 17:00:12+00:00,BBC
2,-0.8225,0.312,0.688,0.0,The government rates the global outbreak of a deadly flu virus as a major threat to the UK. But how are flu vaccine… https://t.co/wzMylfDBrP,2018-03-28 16:30:00+00:00,BBC
3,0.0,0.0,1.0,0.0,Slacking off in Dubai. https://t.co/a3oSKIxfSK,2018-03-28 16:00:10+00:00,BBC
4,0.7506,0.0,0.72,0.28,RT @BBCTheOneShow: The fantastic @george_ezra warming up with a quick cuppa after sound check. Join us at 7pm where he’ll be performing liv…,2018-03-28 15:35:27+00:00,BBC
5,0.0,0.0,1.0,0.0,"Two-thirds of drivers say they are ""regularly dazzled"" by oncoming headlights. 🚘 https://t.co/gwSgpsP6xx https://t.co/i9m9ph8QM1",2018-03-28 13:32:04+00:00,BBC
6,-0.3182,0.113,0.887,0.0,"The Masked Plumber is back. 
And this time, he wants to show you how to unblock a sink trap. https://t.co/t1NIgRpZnO",2018-03-28 12:26:01+00:00,BBC
7,0.0,0.0,1.0,0.0,RT @bbceurovision: We are starting a #Eurovision 2018 group chat. The tea from when @surieofficial met @saaraaalto 👉 https://t.co/c3PuiYT6S…,2018-03-28 11:50:54+00:00,BBC
8,0.0,0.0,1.0,0.0,"RT @BBCR1: ""Last night I did have a very, very large bra, and it was very, very sweaty.""

@JaredLeto lets @Grimmers know about what gets th…",2018-03-28 11:49:07+00:00,BBC
9,0.0,0.0,1.0,0.0,"RT @BBCRadio4: Listen to the first three episodes of The Hitchhiker's Guide to the Galaxy: Hexagonal Phase now.

https://t.co/GdvQZf3ijv

#…",2018-03-28 11:47:35+00:00,BBC
10,-0.34,0.098,0.902,0.0,"RT @bbcworldservice: Do you say fireman or firefighter? The woman in charge of the London Fire Brigade, Dany Cotton, says 'fireman' is sexi…",2018-03-28 11:47:08+00:00,BBC
11,0.0,0.0,1.0,0.0,RT @BBCBreakfast: Take a look at this if you're wondering WHO PAYS for running the new plastic bottle and can deposit scheme: https://t.co/…,2018-03-28 11:45:32+00:00,BBC
12,0.0,0.0,1.0,0.0,RT @BBCNewsround: Some advice from children on what NOT to say to people with an #invisiblecondition https://t.co/mGUj3TWB2J #Dynamo https:…,2018-03-28 11:42:34+00:00,BBC
13,0.3182,0.056,0.837,0.108,♻️👛 People in England will soon have to pay a deposit when they buy drinks bottles and cans in a bid to boost recyc… https://t.co/qyKBqES5b3,2018-03-28 11:30:09+00:00,BBC
14,0.0,0.0,1.0,0.0,"😲 Scientists in Australia have discovered the remains of a mummy in a 2,500-year-old coffin that was previously cla… https://t.co/2S4q2mDImu",2018-03-28 11:04:03+00:00,BBC
15,0.0,0.0,1.0,0.0,"RT @bbcthree: In our latest doc, we investigate allegations that R Kelly has been training a 14-year-old girl to be one his sex ""pets"" http…",2018-03-28 10:53:47+00:00,BBC
16,-0.3612,0.135,0.865,0.0,Tickling sticks have been placed on statues in Liverpool ahead of Sir Ken Dodd's funeral. https://t.co/pPGGg07ZQi https://t.co/LSwzv5Qipw,2018-03-28 10:33:03+00:00,BBC
17,0.0,0.0,1.0,0.0,🛁🐤 Are your bathroom toys in-fact DEADLY? 😱 https://t.co/YrtMOzTvrb,2018-03-28 09:53:41+00:00,BBC
18,0.0,0.0,1.0,0.0,"RT @bbcarts: Andrew Scott, as Hamlet, performs the opening lines of #Shakespeare's most famous soliloquy. Watch the full production at 9pm,…",2018-03-28 09:14:19+00:00,BBC
19,-0.7351,0.256,0.744,0.0,"❤️ After seeing her brother's struggles with depression, Luli's on a mission to break the stigma in the black commu… https://t.co/kl1ak4Gu6w",2018-03-28 08:00:02+00:00,BBC
20,-0.25,0.192,0.692,0.115,"😤 Feeling moody? 
Your gut bacteria might be to blame...
👉 https://t.co/2oPWKjf4D2 https://t.co/Xr5MwczfGR",2018-03-28 07:30:05+00:00,BBC
21,-0.4588,0.176,0.824,0.0,"'I made a decision to not be unbelievably busy.'

@Meshel_Laurie on beating busyness with Buddhism. https://t.co/7ynSgadRyq",2018-03-28 07:00:02+00:00,BBC
22,0.0,0.0,1.0,0.0,"When mother Marie mysteriously leaves the family home, the repercussions are enormous.

#ComeHome | 9pm | @BBCOne |… https://t.co/S4JgnzQlAx",2018-03-27 18:30:07+00:00,BBC
23,0.2942,0.0,0.872,0.128,"🇩🇪😂 Even if you don't speak German, this is worth watching until the end! 
#LiveAtTheApollo https://t.co/J3l8oToRbk",2018-03-27 18:00:08+00:00,BBC
24,0.0,0.0,1.0,0.0,"🍜 We've got oodles of noodles with recipes for pad Thai, chow mein, ramen, pho and stir-fries.
👉… https://t.co/JWfrcIhn2X",2018-03-27 17:00:07+00:00,BBC
25,0.0,0.0,1.0,0.0,😬 What does Facebook know about you? https://t.co/lG4ffeCG09,2018-03-27 16:00:15+00:00,BBC
26,0.6114,0.0,0.75,0.25,RT @BBCTwo: Happy #WorldTheatreDay! *leaves this here and runs away* @SaraPascoe 🎭😂 https://t.co/3XlEb5gr15,2018-03-27 15:40:40+00:00,BBC
27,0.0,0.0,1.0,0.0,"RT @BBCScotland: Meet the master of the radiator harp

@DaftLimmy returns to BBC Scotland on Thursday 5 April. https://t.co/G7mjFEJx6k",2018-03-27 15:38:26+00:00,BBC
28,-0.3064,0.134,0.866,0.0,RT @bbcthree: 12-year-old Keilan has very severe curvature of the spine. He needs surgery ASAP but the 5 hour operation could leave him par…,2018-03-27 15:36:22+00:00,BBC
29,0.0,0.0,1.0,0.0,"RT @bbccomedy: Cathy, master of shade. #Mum https://t.co/VjC2ttkaNF",2018-03-27 15:33:24+00:00,BBC
30,0.0,0.0,1.0,0.0,"RT @BBCR1: (•_•)
&lt;)   )╯who
 /    \ 

  (•_•)
 \(   (&gt; bit
  /    \

 (•_•)
&lt;)   )╯Beyoncé? 
 /    \ 

https://t.co/7hQd9mcKUY",2018-03-27 15:26:23+00:00,BBC
